Child Commit Recent Date,Parent,Hash,Deleted Tests Filepath,Deleted Tests,Deleted Tests Location,Deleted Tests With Whole File,Total Deleted Tests,Total Deleted Tests With Whole File
2003-12-18 20:07:36,1ba4f9861a0cfbc32c56efced3619874a43ec5dd,['0e07ac6b2cff63550d7df336355ca63cc05aa40b'],['JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java'],"['testGetDateTimeInstance', 'testGetPattern', 'testGetChronology', 'testGetTimeZone', 'testGetLocale', 'testGetPrinter', 'testGetParser', 'testEstimatePrintedLength', 'testPrintToSLL', 'testPrintToWLL', 'testPrintToSBRI', 'testPrintToSBL', 'testPrintToWRI', 'testPrintToWL', 'testPrintRI', 'testPrintL', 'testEstimateParsedLength', 'testParseIntoPBSI', 'testParseIntoRWIS', 'testParseIntoRWISI', 'testParseS', 'testParseSL']","{'JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java': ['testGetDateTimeInstance', 'testGetPattern', 'testGetChronology', 'testGetTimeZone', 'testGetLocale', 'testGetPrinter', 'testGetParser', 'testEstimatePrintedLength', 'testPrintToSLL', 'testPrintToWLL', 'testPrintToSBRI', 'testPrintToSBL', 'testPrintToWRI', 'testPrintToWL', 'testPrintRI', 'testPrintL', 'testEstimateParsedLength', 'testParseIntoPBSI', 'testParseIntoRWIS', 'testParseIntoRWISI', 'testParseS', 'testParseSL']}","{'Total File': 0, 'Total Tests': 0, 'Files': []}",22,0
2003-12-20 08:11:23,f1a476f463c62b736e4a641aba4c59d9629814d1,['acc5016243117465b83621ea5ff31ae76163d3b8'],"['JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java', 'JodaTime/src/test/org/joda/test/time/TestTimePeriod.java', 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java', 'JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java', 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java']","['testGetInstanceTZ', 'testGetInstanceTZL', 'testGetInstanceC', 'testGetInstanceCL', 'testForPattern', 'testForStyle', 'testGetPatternForStyle', 'testToPrinter', 'testToParser', 'testToFormatter', 'testCanBuildPrinter', 'testCanBuildParser', 'testCanBuilderFormatter', 'testClear', 'testAppendDTF', 'testAppendDTPE', 'testAppendLiteralC', 'testAppendLiteralS', 'testAppendNumeric', 'testAppendSignedNumeric', 'testAppendFraction', 'testAppendFractionOfSecond', 'testAppendFractionOfMinute', 'testAppendFractionOfHour', 'testAppendFractionOfDay', 'testAppendMillisOfSecond', 'testAppendMillisOfDay', 'testAppendSecondOfMinute', 'testAppendSecondOfDay', 'testAppendMinuteOfHour', 'testAppendMinuteOfDay', 'testAppendHourOfDay', 'testAppendClockhourOfDay', 'testAppendHourOfHalfday', 'testAppendClockhourOfHalfday', 'testAppendDayOfWeek', 'testAppendDayOfMonth', 'testAppendDayOfYear', 'testAppendWeekOfYearWeek', 'testAppendWeekOfYearYear', 'testAppendMonthOfYear', 'testAppendYear', 'testAppendYearOfEra', 'testAppendYearOfCentury', 'testAppendCentury', 'testAppendCenturyOfEra', 'testAppendAmPmSymbol', 'testAppendDayOfWeekSymbol', 'testAppendDayOfWeekShortSymbol', 'testAppendMonthOfYearSymbol', 'testAppendMonthOfYearShortSymbol', 'testAppendEraSymbol', 'testAppendTimeZoneSymbol', 'testAppendTimeZoneShortSymbol', 'testAppendTimeZoneOffset', 'testAppendPattern', 'testSetMillis', 'testSaveField', 'testSetTimeZone', 'testSetTimeZoneOffset', 'testGetTimeZone', 'testGetTimeZoneOffset', 'testComputeMillis', 'testClone', 'testFormat', 'testGetMillis', 'testGetStartInstant', 'testGetEndInstant', 'testToTimePeriod', 'testGetTotalSeconds', 'testGetTotalMinutes', 'testGetTotalHours', 'testGetTotalDays', 'testGetTotalMonths', 'testGetTotalWeeks', 'testGetSeconds', 'testGetMinutes', 'testGetHours', 'testGetDays', 'testGetMonths', 'testGetYears', 'testEquals', 'testHashCode', 'testCompareTo', 'testIsLongerThan', 'testIsShorterThan', 'testToString', 'testFormat', 'testParseObject']","{'JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java': ['testSetMillis', 'testSaveField', 'testSetTimeZone', 'testSetTimeZoneOffset', 'testGetTimeZone', 'testGetTimeZoneOffset', 'testComputeMillis'], 'JodaTime/src/test/org/joda/test/time/TestTimePeriod.java': ['testClone', 'testFormat', 'testGetMillis', 'testGetStartInstant', 'testGetEndInstant', 'testToTimePeriod', 'testGetTotalSeconds', 'testGetTotalMinutes', 'testGetTotalHours', 'testGetTotalDays', 'testGetTotalMonths', 'testGetTotalWeeks', 'testGetSeconds', 'testGetMinutes', 'testGetHours', 'testGetDays', 'testGetMonths', 'testGetYears', 'testEquals', 'testHashCode', 'testCompareTo', 'testIsLongerThan', 'testIsShorterThan', 'testToString'], 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java': ['testGetInstanceTZ', 'testGetInstanceTZL', 'testGetInstanceC', 'testGetInstanceCL', 'testForPattern', 'testForStyle', 'testGetPatternForStyle'], 'JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java': ['testFormat', 'testParseObject'], 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java': ['testToPrinter', 'testToParser', 'testToFormatter', 'testCanBuildPrinter', 'testCanBuildParser', 'testCanBuilderFormatter', 'testClear', 'testAppendDTF', 'testAppendDTPE', 'testAppendLiteralC', 'testAppendLiteralS', 'testAppendNumeric', 'testAppendSignedNumeric', 'testAppendFraction', 'testAppendFractionOfSecond', 'testAppendFractionOfMinute', 'testAppendFractionOfHour', 'testAppendFractionOfDay', 'testAppendMillisOfSecond', 'testAppendMillisOfDay', 'testAppendSecondOfMinute', 'testAppendSecondOfDay', 'testAppendMinuteOfHour', 'testAppendMinuteOfDay', 'testAppendHourOfDay', 'testAppendClockhourOfDay', 'testAppendHourOfHalfday', 'testAppendClockhourOfHalfday', 'testAppendDayOfWeek', 'testAppendDayOfMonth', 'testAppendDayOfYear', 'testAppendWeekOfYearWeek', 'testAppendWeekOfYearYear', 'testAppendMonthOfYear', 'testAppendYear', 'testAppendYearOfEra', 'testAppendYearOfCentury', 'testAppendCentury', 'testAppendCenturyOfEra', 'testAppendAmPmSymbol', 'testAppendDayOfWeekSymbol', 'testAppendDayOfWeekShortSymbol', 'testAppendMonthOfYearSymbol', 'testAppendMonthOfYearShortSymbol', 'testAppendEraSymbol', 'testAppendTimeZoneSymbol', 'testAppendTimeZoneShortSymbol', 'testAppendTimeZoneOffset', 'testAppendPattern']}","{'Total File': 5, 'Total Tests': 89, 'Files': ['JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java', 'JodaTime/src/test/org/joda/test/time/TestTimePeriod.java', 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java', 'JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java', 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java']}",89,89
2004-07-27 17:21:14,d21736df31ca4888e76ccbdc7d31f406cf68b645,['d3c4efa48ca55da45286072b98aa229839d0b1ed'],"['JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java', 'JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']","['testAddMillis', 'testFailure']","{'JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java': ['testFailure'], 'JodaTime/src/test/org/joda/test/time/TestMDTAdd.java': ['testAddMillis']}","{'Total File': 2, 'Total Tests': 2, 'Files': ['JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java', 'JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']}",2,2
2004-08-07 06:55:14,c19bfe0c328518cb9d9734e8e15c174c150b86c0,['3f62b3a3ef59f954a14f09aeee97053618da1c74'],['JodaTime/src/test/org/joda/time/TestDuration_Basics.java'],['testNormalize'],{'JodaTime/src/test/org/joda/time/TestDuration_Basics.java': ['testNormalize']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2004-08-21 16:29:39,7c064bbf222d8abec91abb9a0790014ff6f06cea,['5f2aa4794e8094eb6b3018589c3a751f61bd2fa6'],['JodaTime/src/test/org/joda/time/TestPeriod_Basics.java'],['testNormalize'],{'JodaTime/src/test/org/joda/time/TestPeriod_Basics.java': ['testNormalize']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2004-08-22 10:25:24,6bdd176eed470329a73d7ee08498183e579cea60,['3877455129a7ee0c1c50ff3a4cf9116732a26862'],['JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java'],"['testEraConstant', 'testMillisOfSecond', 'testMillisOfDay', 'testSecondOfMinute', 'testSecondOfDay', 'testMinuteOfHour', 'testMinuteOfDay', 'testHourOfDay', 'testClockhourOfDay', 'testHourOfHalfday', 'testClockhourOfHalfday', 'testAmPm', 'testDayOfWeek', 'testDayOfMonth', 'testDayOfYear', 'testWeekOfYearWeek', 'testMonthOfYear', 'testLeapYear', 'testWeekOfYearYear']","{'JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java': ['testEraConstant', 'testMillisOfSecond', 'testMillisOfDay', 'testSecondOfMinute', 'testSecondOfDay', 'testMinuteOfHour', 'testMinuteOfDay', 'testHourOfDay', 'testClockhourOfDay', 'testHourOfHalfday', 'testClockhourOfHalfday', 'testAmPm', 'testDayOfWeek', 'testDayOfMonth', 'testDayOfYear', 'testWeekOfYearWeek', 'testMonthOfYear', 'testLeapYear', 'testWeekOfYearYear']}","{'Total File': 1, 'Total Tests': 19, 'Files': ['JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java']}",19,19
2011-07-31 17:41:30,49558a5286c3b7eb6c85d5f26e5ae94f11f7a892,['c5a5190e19c062405ae4825c36e2172ae64202fb'],['src/test/java/org/joda/time/TestParseISO.java'],"['testSpecExpandedC', 'testSpecWeekTruncatedDWD', 'testSpecWeekTruncatedDW']","{'src/test/java/org/joda/time/TestParseISO.java': ['testSpecExpandedC', 'testSpecWeekTruncatedDWD', 'testSpecWeekTruncatedDW']}","{'Total File': 1, 'Total Tests': 3, 'Files': ['src/test/java/org/joda/time/TestParseISO.java']}",3,3
